n_estimators,max_depth,random_state,ccp_alpha,max_samples,max_features,Train score,Val score,Test score,Time
50.0,100.0,19421220.0,0.0001,0.5,0.75,0.6036,0.4858,0.4559,35.1
50.0,100.0,19421220.0,0.0001,0.75,0.5,0.5712,0.4805,0.451,32.48
50.0,100.0,19421220.0,0.0001,0.75,0.75,0.5768,0.4794,0.4513,49.2
50.0,100.0,19421220.0,0.01,0.5,0.5,0.194,0.197,0.1945,23.2
50.0,100.0,19421220.0,0.01,0.5,0.75,0.2182,0.2222,0.2195,35.1
50.0,100.0,19421220.0,0.01,0.75,0.5,0.191,0.1944,0.1916,51.39
50.0,100.0,19421220.0,0.01,0.75,0.75,0.2153,0.2196,0.2162,144.93
50.0,100.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,23.57
50.0,100.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,35.23
50.0,100.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,32.76
50.0,100.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,50.47
50.0,100.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,23.49
50.0,100.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,35.13
50.0,100.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,32.48
50.0,100.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,49.17
50.0,100.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,23.22
50.0,100.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,35.12
50.0,100.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,32.5
50.0,100.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,49.18
100.0,5.0,19421220.0,0.0,0.5,0.5,0.4859,0.4595,0.4296,12.67
100.0,5.0,19421220.0,0.0,0.5,0.75,0.493,0.4637,0.4374,18.93
100.0,5.0,19421220.0,0.0,0.75,0.5,0.4864,0.4589,0.432,16.87
100.0,5.0,19421220.0,0.0,0.75,0.75,0.4936,0.459,0.4342,25.23
100.0,5.0,19421220.0,0.0001,0.5,0.5,0.4838,0.4596,0.4294,12.67
100.0,5.0,19421220.0,0.0001,0.5,0.75,0.4907,0.4634,0.4369,18.93
100.0,5.0,19421220.0,0.0001,0.75,0.5,0.4826,0.4583,0.4311,16.87
100.0,5.0,19421220.0,0.0001,0.75,0.75,0.4898,0.4582,0.4331,25.24
100.0,5.0,19421220.0,0.01,0.5,0.5,0.1912,0.1944,0.1917,12.68
100.0,5.0,19421220.0,0.01,0.5,0.75,0.2185,0.2228,0.2195,18.94
100.0,5.0,19421220.0,0.01,0.75,0.5,0.1883,0.1919,0.1886,16.94
100.0,5.0,19421220.0,0.01,0.75,0.75,0.2176,0.222,0.2179,25.33
100.0,5.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,12.67
100.0,5.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,18.94
100.0,5.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,16.88
100.0,5.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,25.38
100.0,5.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,12.8
100.0,5.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,19.16
100.0,5.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,17.1
100.0,5.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,25.53
100.0,5.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,12.81
100.0,5.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,19.09
100.0,5.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,17.0
100.0,5.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,25.26
100.0,10.0,19421220.0,0.0,0.5,0.5,0.6655,0.4842,0.4564,24.65
100.0,10.0,19421220.0,0.0,0.5,0.75,0.6649,0.4864,0.4541,36.67
100.0,10.0,19421220.0,0.0,0.75,0.5,0.6963,0.4849,0.4525,32.71
100.0,10.0,19421220.0,0.0,0.75,0.75,0.6968,0.4839,0.4575,48.97
100.0,10.0,19421220.0,0.0001,0.5,0.5,0.5817,0.4859,0.456,24.44
100.0,10.0,19421220.0,0.0001,0.5,0.75,0.5881,0.4873,0.4553,36.62
100.0,10.0,19421220.0,0.0001,0.75,0.5,0.5662,0.4831,0.452,32.7
100.0,10.0,19421220.0,0.0001,0.75,0.75,0.5745,0.483,0.4541,48.98
100.0,10.0,19421220.0,0.01,0.5,0.5,0.1912,0.1944,0.1917,24.46
100.0,10.0,19421220.0,0.01,0.5,0.75,0.2185,0.2228,0.2195,36.61
100.0,10.0,19421220.0,0.01,0.75,0.5,0.1883,0.1919,0.1886,32.7
100.0,10.0,19421220.0,0.01,0.75,0.75,0.2176,0.222,0.2179,49.16
100.0,10.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,27.53
100.0,10.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,37.01
100.0,10.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,32.98
100.0,10.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,49.34
100.0,10.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,24.64
100.0,10.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,36.88
100.0,10.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,32.94
100.0,10.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,49.32
100.0,10.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,24.65
100.0,10.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,36.87
100.0,10.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,32.95
100.0,10.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,49.35
100.0,25.0,19421220.0,0.0,0.5,0.5,0.7997,0.48,0.453,46.06
100.0,25.0,19421220.0,0.0,0.5,0.75,0.7986,0.4791,0.451,69.69
100.0,25.0,19421220.0,0.0,0.75,0.5,0.8733,0.4836,0.4491,63.07
100.0,25.0,19421220.0,0.0,0.75,0.75,0.8705,0.4723,0.4472,96.73
100.0,25.0,19421220.0,0.0001,0.5,0.5,0.5926,0.4839,0.457,46.53
100.0,25.0,19421220.0,0.0001,0.5,0.75,0.6031,0.4889,0.4541,70.38
100.0,25.0,19421220.0,0.0001,0.75,0.5,0.5714,0.4847,0.454,63.43
100.0,25.0,19421220.0,0.0001,0.75,0.75,0.58,0.4821,0.4539,96.76
100.0,25.0,19421220.0,0.01,0.5,0.5,0.1912,0.1944,0.1917,46.18
100.0,25.0,19421220.0,0.01,0.5,0.75,0.2185,0.2228,0.2195,69.69
100.0,25.0,19421220.0,0.01,0.75,0.5,0.1883,0.1919,0.1886,62.93
100.0,25.0,19421220.0,0.01,0.75,0.75,0.2176,0.222,0.2179,874.64
100.0,25.0,19421220.0,1.0,0.5,0.5,-0.0,-0.0,-0.0,46.08
100.0,25.0,19421220.0,1.0,0.5,0.75,-0.0,-0.0,-0.0,70.17
100.0,25.0,19421220.0,1.0,0.75,0.5,-0.0,-0.0,-0.0,63.28
100.0,25.0,19421220.0,1.0,0.75,0.75,-0.0,-0.0,-0.0,96.53
100.0,25.0,19421220.0,100.0,0.5,0.5,-0.0,-0.0,-0.0,45.77
100.0,25.0,19421220.0,100.0,0.5,0.75,-0.0,-0.0,-0.0,69.21
100.0,25.0,19421220.0,100.0,0.75,0.5,-0.0,-0.0,-0.0,62.64
100.0,25.0,19421220.0,100.0,0.75,0.75,-0.0,-0.0,-0.0,95.79
100.0,25.0,19421220.0,10000.0,0.5,0.5,-0.0,-0.0,-0.0,45.74
100.0,25.0,19421220.0,10000.0,0.5,0.75,-0.0,-0.0,-0.0,69.21
100.0,25.0,19421220.0,10000.0,0.75,0.5,-0.0,-0.0,-0.0,62.65
100.0,25.0,19421220.0,10000.0,0.75,0.75,-0.0,-0.0,-0.0,95.85
100.0,50.0,19421220.0,0.0,0.5,0.5,0.8036,0.4819,0.4495,46.2
100.0,50.0,19421220.0,0.0,0.5,0.75,0.8032,0.4757,0.452,70.0
100.0,50.0,19421220.0,0.0,0.75,0.5,0.8798,0.4788,0.4506,63.79
