gamma,subsample,colsample_bytree,max_depth,eta,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
1.0,0.5,0.5,25.0,0.6,0.3828,0.0316,0.0123,0.1169,0.1464,0.1479,79291075183865.98,100670287146806.84,104542138654721.88,22.08
1.0,0.5,0.5,100.0,0.3,0.3884,0.0312,0.0121,0.1164,0.1464,0.1479,79044092900314.19,101724775304656.72,104666447129948.6,31.1
100.0,0.25,0.25,25.0,0.3,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,7.59
100.0,0.25,0.75,100.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,14.57
100.0,0.75,0.25,25.0,0.75,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99561490463338.05,99561723201644.02,99559121297746.2,10.13
100.0,0.75,0.25,50.0,0.9,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99561490463338.05,99561723201644.02,99559121297746.2,11.22
100.0,0.5,0.5,10.0,0.15,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,9.35
100.0,0.25,0.5,5.0,0.45,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,3.43
100.0,0.5,0.75,25.0,0.3,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99908193959206.95,99908427507978.77,99905816543457.48,20.51
0.01,0.25,0.25,50.0,0.45,0.8736,-0.1119,-0.119,0.0529,0.1569,0.1575,107375823812124.72,188521883329423.88,187619356849115.7,15.01
0.0,0.25,0.75,100.0,0.75,0.9263,-0.1566,-0.1446,0.0404,0.16,0.1593,57797611795442.71,188328563302735.97,184678473289886.0,46.71
0.0,0.5,0.75,50.0,0.15,0.9966,-0.092,-0.0905,0.0087,0.1555,0.1554,10124272048159.334,149891698394505.62,151067830357386.78,51.76
0.0,0.25,0.5,100.0,0.9,0.9243,-0.1496,-0.155,0.0409,0.1595,0.16,59294124345184.16,190063961100260.3,193731167446161.72,30.75
100.0,0.25,0.75,100.0,0.9,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,14.55
100.0,0.75,0.5,25.0,0.15,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99561490463338.05,99561723201644.02,99559121297746.2,16.75
100.0,0.25,0.5,25.0,0.9,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100502299192952.88,100502534130525.12,100499907639873.05,11.43
1.0,0.5,0.5,100.0,0.9,0.3884,0.0312,0.0121,0.1164,0.1464,0.1479,79044092900314.19,101724775304656.72,104666447129948.6,32.24
0.0,0.25,0.75,10.0,0.3,0.6639,-0.0903,-0.0914,0.0862,0.1553,0.1555,85565872516640.14,141188489483785.0,141823753135393.9,9.67
0.01,0.25,0.75,10.0,0.3,0.6626,-0.108,-0.1009,0.0864,0.1566,0.1562,89745287068945.56,142177706136070.7,142367105419359.62,9.63
