max_bins,interactions,learning_rate,max_rounds,min_samples_leaf,max_leaves,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
65535.0,2.0,0.0001,500.0,32.0,100.0,0.0199,0.0208,0.0168,0.1473,0.1472,0.1476,47377992259332.766,47332755572885.54,47576250530644.836,6.6
4.0,16.0,0.1,500.0,1.0,100000.0,0.0669,0.0653,0.0501,0.1437,0.1438,0.1451,109108410369544.86,109581659085713.1,109653030315660.06,2.99
4.0,16.0,0.1,25.0,32.0,100.0,0.071,0.0682,0.0486,0.1434,0.1436,0.1452,104957836901034.8,105794293717724.7,105681438671754.72,1.77
1024.0,16.0,0.0001,25.0,32.0,100000.0,-0.0134,-0.013,-0.0139,0.1498,0.1497,0.1499,8465601795739.083,8450210797145.759,8487488163797.477,1.99
4.0,16.0,100.0,25.0,32.0,100.0,-3591875.8955,-3591634.9258,-3588167.0061,281.9666,281.9432,281.9623,9.586148554342161e+17,9.58553681742897e+17,9.588836488001743e+17,1.72
65535.0,16.0,0.0001,500.0,32.0,100000.0,0.0285,0.0301,0.0245,0.1466,0.1465,0.147,54028022693868.13,53965452452793.84,54241290126819.36,8.69
65535.0,2.0,0.1,500.0,1.0,100.0,0.08,0.0714,0.0484,0.1427,0.1434,0.1452,102614204574919.08,102955980490914.05,102913368223839.14,1.95
65535.0,16.0,100.0,500.0,32.0,100.0,-4329227.8027,-4335761.673,-4309887.7998,309.5581,309.7763,309.0207,9.483415091238351e+17,9.459953101533404e+17,9.458453931001295e+17,2.72
65535.0,16.0,0.0001,500.0,32.0,100.0,0.0285,0.0301,0.0245,0.1466,0.1465,0.147,54028038125708.37,53965466751941.53,54241405459985.67,8.65
65535.0,2.0,0.1,25.0,1.0,100000.0,0.0795,0.0708,0.0483,0.1427,0.1434,0.1452,103007418532791.1,103375899077865.88,103287908965869.4,1.47
1024.0,16.0,0.1,25.0,1.0,100000.0,0.0891,0.0696,0.0471,0.142,0.1435,0.1453,101262738638717.55,101931640310791.95,101891079634600.89,1.98
1024.0,2.0,100.0,500.0,1.0,100000.0,-4619875.4007,-4621290.3238,-4608322.143,319.7806,319.8138,319.5406,9.472214392044257e+17,9.46856638640777e+17,9.461866168596136e+17,1.81
1024.0,16.0,0.1,500.0,1.0,100000.0,0.0903,0.0695,0.0469,0.1419,0.1435,0.1453,101325308281526.22,102064530765827.88,102028165266379.83,2.98
