learning_rate,n_estimators,subsample,max_features,ccp_alpha,max_depth,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.0001,50.0,0.25,0.25,0.0,5.0,19260817.0,0.001,0.0009,0.0009,0.1487,0.1487,0.1488,99634660959081.48,99640949191940.52,99637322152539.78,1.02
0.1,200.0,0.75,0.25,0.0,5.0,19260817.0,0.4458,0.0593,0.0725,0.1108,0.1443,0.1434,78319493738737.88,104149669806114.9,101854384459586.66,8.98
100.0,200.0,0.25,0.75,100.0,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.64
100.0,50.0,0.25,0.25,0.1,5.0,19260817.0,-1.3537781715446995e+195,-1.3539115895165124e+195,-1.3524215708153707e+195,5.474073568575994e+96,5.474073568575994e+96,5.474073568575994e+96,2.4094703089057306e+112,2.409475941364981e+112,2.4094129731414322e+112,0.5
0.1,200.0,0.25,0.25,0.0,100.0,19260817.0,0.9993,-0.2492,-0.1852,0.0038,0.1663,0.162,7987403466816.28,204940773882472.1,200904199680376.7,29.11
100.0,200.0,0.25,0.75,0.0,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.48
0.0001,200.0,0.25,0.25,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99678853794927.88,99679086807586.31,99676481836557.77,4.74
0.1,200.0,0.25,0.25,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100156112812361.3,100156346940676.58,100153729497133.86,6.6
0.1,50.0,0.75,0.25,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100367850150931.64,100368084774211.28,100365461797201.72,5.22
0.0001,50.0,0.75,0.75,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684984609481.9,99685217636471.95,99682612505222.92,6.53
100.0,200.0,0.75,0.75,0.1,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.08
0.0001,50.0,0.75,0.25,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684984609481.9,99685217636471.95,99682612505222.92,5.17
0.0001,50.0,0.25,0.75,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99682920074395.88,99683153096559.8,99680548019264.56,4.64
100.0,200.0,0.25,0.75,100.0,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03
100.0,200.0,0.75,0.75,0.1,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.81
0.1,50.0,0.25,0.25,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100585456726431.23,100585691858395.38,100583063194534.44,0.97
0.0001,200.0,0.75,0.75,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684462336956.22,99684695362725.4,99682090245125.22,27.33
0.1,50.0,0.25,0.75,0.0,5.0,19260817.0,0.2237,0.068,0.066,0.1311,0.1436,0.1439,85179712869381.42,92805642233518.88,93098249376674.48,2.51
0.0001,200.0,0.25,0.25,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99678853794927.88,99679086807586.31,99676481836557.77,7.78
100.0,200.0,0.75,0.75,0.0,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6
100.0,50.0,0.25,0.25,0.1,100.0,19260817.0,-1.3537781717428056e+195,-1.3539115897146386e+195,-1.3524215710132785e+195,5.47407356897652e+96,5.47407356897652e+96,5.47407356897652e+96,2.4094703090820243e+112,2.409475941541276e+112,2.4094129733177212e+112,0.68
100.0,200.0,0.75,0.75,100.0,5.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.32
0.0001,50.0,0.75,0.25,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684984609481.9,99685217636471.95,99682612505222.92,2.23
100.0,200.0,0.75,0.25,0.0,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.93
0.1,50.0,0.25,0.75,0.1,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100585456726431.23,100585691858395.38,100583063194534.44,2.5
100.0,50.0,0.25,0.75,0.0,5.0,19260817.0,-2.4803047008734367e+198,-2.481221610338164e+198,-2.500051753621144e+198,2.343092286787936e+98,2.343409868036012e+98,2.353580649916125e+98,6.437541303915016e+113,6.446757946787606e+113,6.428028794397899e+113,2.51
0.0001,50.0,0.25,0.75,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99682920074395.88,99683153096559.8,99680548019264.56,5.84
100.0,200.0,0.75,0.75,100.0,100.0,19260817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.8
