n_estimators,eta,max_depth,l2_leaf_reg,colsample_bylevel,subsample,max_bin,random_seed,silent,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
400.0,0.0001,16.0,0.9,0.25,0.25,1024.0,19260817.0,1.0,0.019,0.0047,0.005,0.1474,0.1484,0.1485,98251075277417.52,98612459944842.88,98577029136975.1,315.91
400.0,0.0001,16.0,0.9,0.25,0.25,4.0,19260817.0,1.0,0.016,0.005,0.0056,0.1476,0.1484,0.1484,98637248935197.98,98971484988724.84,98970136909584.52,40.94
400.0,1.0,16.0,0.3,0.25,0.25,1024.0,19260817.0,1.0,1.0,-0.4018,-0.3995,0.0,0.1761,0.1761,21632284.2256,220963745248090.9,218073649183503.6,308.9
400.0,1.0,16.0,0.3,0.25,0.75,1024.0,19260817.0,1.0,1.0,-0.3439,-0.3639,0.0,0.1725,0.1738,3207723.5015,204212872781189.6,208252283884747.28,324.08
400.0,1.0,2.0,0.9,0.75,0.25,1024.0,19260817.0,1.0,0.2554,-0.0051,0.0209,0.1284,0.1491,0.1473,126482141725176.28,141929317359781.7,139183402612741.56,1.5
400.0,0.0001,16.0,0.9,0.75,0.75,4.0,19260817.0,1.0,0.0167,0.005,0.0057,0.1475,0.1484,0.1484,98586752393217.8,98934303016265.28,98946274850987.6,66.17
25.0,0.0001,16.0,0.3,0.25,0.75,4.0,19260817.0,1.0,0.0012,0.0004,0.0004,0.1487,0.1487,0.1488,99620109171621.38,99647180428440.84,99645640837910.7,2.71
25.0,0.0001,2.0,0.3,0.25,0.75,1024.0,19260817.0,1.0,0.0003,0.0003,0.0003,0.1488,0.1487,0.1488,99671173300497.02,99670978319748.69,99668203369599.56,0.19
400.0,1.0,16.0,0.3,0.75,0.25,1024.0,19260817.0,1.0,1.0,-0.3709,-0.368,0.0,0.1742,0.1741,5007370.9374,196204847973283.03,199340938907831.44,847.9
25.0,0.0001,16.0,0.9,0.25,0.75,65535.0,19260817.0,1.0,0.0012,0.0003,0.0003,0.1487,0.1487,0.1488,99595007460582.56,99620030473580.95,99613116443640.4,21.45
25.0,1.0,16.0,0.3,0.75,0.25,4.0,19260817.0,1.0,0.921,-0.4484,-0.4545,0.0418,0.179,0.1795,45594505361897.4,218194684247679.4,219777527365529.7,3.7
400.0,0.0001,2.0,0.9,0.75,0.75,1024.0,19260817.0,1.0,0.0056,0.0056,0.0056,0.1484,0.1484,0.1484,99401548111981.1,99398524993162.38,99393906647191.69,1.93
25.0,1.0,2.0,0.3,0.75,0.75,1024.0,19260817.0,1.0,0.1131,0.0944,0.0921,0.1401,0.1416,0.1418,100812764957899.95,101985631533756.44,100303932708577.56,0.23
25.0,1.0,16.0,0.3,0.75,0.75,65535.0,19260817.0,1.0,0.99,-0.3965,-0.3871,0.0149,0.1758,0.1753,35513108247094.13,187171753922727.6,188372805303651.0,52.39
400.0,0.0001,2.0,0.9,0.75,0.25,65535.0,19260817.0,1.0,0.0056,0.0056,0.0055,0.1484,0.1484,0.1484,99402256240141.95,99399286402381.98,99394469161860.84,1.49
