n_estimators,eta,max_depth,l2_leaf_reg,colsample_bylevel,subsample,max_bin,random_seed,boosting_type,max_ctr_complexity,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,silent
200,0.0001,16,0.9,0.75,0.75,1024,19260817,Plain,1.0,0.0181,0.0101,0.0096,0.2494,0.2504,0.2506,282669267936603.0,283847598540930.0,284231848174900.0,10251.26,
25,1.0,2,0.3,0.25,0.75,1024,19260817,Plain,1.0,0.4482,0.4332,0.405,0.1869,0.1895,0.1942,162368404557243.0,166315415703902.0,168853188065261.0,0.41,
200,1.0,2,0.3,0.75,0.25,1024,19260817,Plain,1.0,0.5483,0.431,0.3911,0.1691,0.1898,0.1965,137782846895028.0,154810436569233.0,163440020356188.0,1.75,
200,1.0,16,0.3,0.25,0.75,4,19260817,Plain,1.0,1.0,0.0055,-0.0258,0.0,0.2509,0.255,193816.7632,204040887137706.0,201679491019779.0,27.31,
25,0.0001,2,0.3,0.75,0.25,4,19260817,Plain,1.0,0.0009,0.0009,0.0009,0.2515,0.2515,0.2517,285073161822088.0,285044174291912.0,285364502482941.0,0.25,
25,0.0001,16,0.3,0.25,0.25,4,19260817,Plain,1.0,0.0027,0.0012,0.0012,0.2513,0.2515,0.2516,284814629187190.0,285007640975637.0,285335711947220.0,3.34,
200,1.0,16,0.9,0.25,0.75,4,19260817,Plain,1.0,1.0,0.1161,0.0769,0.0,0.2366,0.2419,10339206.8363,197346814950695.0,202817547124463.0,29.64,
200,1.0,2,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.5526,0.4307,0.3872,0.1683,0.1899,0.1971,138079242336899.0,158900347412800.0,164351206122034.0,1.74,
25,0.0001,2,0.9,0.25,0.25,4,19260817,Plain,1.0,0.0008,0.0008,0.0008,0.2515,0.2515,0.2517,285084680717043.0,285056446261999.0,285377857070697.0,0.24,
200,1.0,2,0.3,0.25,0.25,4,19260817,Plain,1.0,0.3665,0.3554,0.3322,0.2003,0.202,0.2057,177886811973019.0,182773273435672.0,184172687293731.0,0.77,
200,0.0001,16,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.0181,0.0093,0.009,0.2494,0.2505,0.2506,282676039991332.0,283968784562107.0,284336954937168.0,10334.2,
25,1.0,2,0.9,0.75,0.25,1024,19260817,Plain,1.0,0.4593,0.4432,0.3967,0.185,0.1878,0.1956,158409899802259.0,161096688841501.0,168729558299571.0,0.53,
200,1.0,16,0.3,0.25,0.75,1024,19260817,Plain,1.0,1.0,0.1207,0.0839,0.0,0.236,0.241,203579388.7387,201411523206190.0,203225542626012.0,3420.05,
25,1.0,2,0.9,0.25,0.25,1024,19260817,Plain,1.0,0.4414,0.4436,0.3923,0.1881,0.1877,0.1963,158243543201524.0,159560188094212.0,166316072429885.0,0.38,
25,0.0001,16,0.9,0.25,0.75,4,19260817,Plain,1.0,0.0022,0.0011,0.0011,0.2514,0.2515,0.2516,284891364902982.0,285020228410708.0,285343940416257.0,3.66,
25,1.0,2,0.3,0.25,0.25,4,19260817,Plain,1.0,0.3207,0.3261,0.3107,0.2074,0.2066,0.209,189584116635261.0,191894581823467.0,191240421142834.0,0.23,
25,1.0,2,0.3,0.75,0.25,4,19260817,Plain,1.0,0.3324,0.3342,0.3232,0.2056,0.2053,0.2071,183012332438555.0,184802660166523.0,185338656615770.0,0.25,
25,1.0,2,0.3,0.75,0.75,4,19260817,Plain,1.0,0.3367,0.3359,0.3195,0.2049,0.2051,0.2077,182206386473392.0,184997384303340.0,186175674807539.0,0.34,
200,0.0001,2,0.9,0.75,0.75,1024,19260817,Plain,1.0,0.0104,0.0105,0.0102,0.2503,0.2503,0.2505,283698138401686.0,283668994846338.0,284025812504211.0,3.61,
